Golfer,Bio
Aaron Rai,"Aaron Rai is making his Masters debut. His best finish in a major championship is T-19 in both the 2021 Open at Royal St George's and the 2024 U.S. Open at Pinehurst No. 2. He finished T-4 in the Mexico Open in February. Last August, he earned his first career PGA Tour win in Greensboro and competed in his first Tour Championship at East Lake. Also in 2024, he finished runner-up in Detroit and T-4 in the Byron Nelson in Texas, Scottish Open and the DP World Tour's flagship event in England. His other worldwide wins include the Hong Kong Open in 2018 and the Scottish Open in 2020."
Adam Schenk,"Adam Schenk is making his second Masters start after finishing T-12 in his Tournament debut in 2024. He started 2025 by finishing T-6 in Honolulu in January. Other high finishes last year included T-5 in San Antonio, T-13 in the Byron Nelson in Texas, T-17 in Phoenix and T-19 in the Players Championship. In 2023, he finished T-9 in his first Tour Championship at East Lake for his seventh top-10 finish of that season. He also finished runner-up in Tampa and Fort Worth, T-6 in Memphis and T-7 in the Memorial Tournament in 2023."
Adam Scott,"Adam Scott is making his 24th Masters start. He won the 2013 Masters in a playoff over Angel Cabrera on a rainy Sunday afternoon to become Australia's first Tournament champion. In the years prior to his victory, numerous Australians had finished runner-up in the Masters, including Jim Ferrier, Greg Norman, Jason Day and Scott himself. He has made the cut in each of the past 15 years at Augusta National. In 2024, he finished runner-up in Scotland and Colorado, T-3 in the DP World Tour Championship in Dubai, T-4 in the Tour Championship at East Lake and T-10 in The Open at Royal Troon. Also last year, he represented the International team in his 11th consecutive Presidents Cup."
Akshay Bhatia,"Akshay Bhatia is making his second Masters start. He finished T-3 in the Players Championship in March. Last April, he won in San Antonio to earn the final invitation to the 2024 Tournament. By earning his second career PGA Tour win on the day of the 10th playing of the Drive, Chip and Putt National Finals, the 2014 National Finalist became the first past Drive, Chip and Putt participant to earn an invitation to the Masters. Later in 2024, he competed in his first Tour Championship at East Lake and finished runner-up in events in Detroit and Japan. Before turning professional, the three-time junior All-American and 2018 AJGA Boys Player of the Year represented the United States in the Junior Presidents Cup, Junior Ryder Cup and Walker Cup."
Angel Cabrera,"Angel Cabrera is making his 21st Masters start. He won the 2009 Masters in a playoff over Kenny Perry and Chad Campbell to become South America's first Tournament champion. Four years later in 2013, he finished runner-up to Adam Scott at Augusta National. He also won the 2007 U.S. Open and is one of six to win major championships at Augusta National and Oakmont, with Gene Sarazen, Sam Snead, Ben Hogan, Jack Nicklaus and Dustin Johnson. He is one of two South American major champions with fellow Argentine Roberto de Vicenzo who won the 1967 Open at Royal Liverpool. In April, he earned his first career PGA Tour Champions win with a victory in Florida. In 2024, he had five top-25 finishes on the PGA Tour Champions, including T-5 in the Senior Open Championship at Carnoustie."
Austin Eckroat,"Austin Eckroat is making his second Masters start. In 2024, he earned his first two career PGA Tour wins with victories in Palm Beach Gardens in March and Mexico in November. Also last year, he finished sixth in Greensboro and T-18 in the PGA Championship at Oak Hill. In 2023 as a rookie on the PGA Tour, he had four top-10 finishes, including runner-up in the Byron Nelson in Texas, T-8 in St. Simons Island and T-10 in the U.S. Open at The Los Angeles Country Club. Before turning professional, the four-time All-American at Oklahoma State University was a member of the 2018 NCAA Division I Men's Golf Championship-winning team and represented the United States in both the Arnold Palmer Cup and Walker Cup."
Bernhard Langer,"Bernhard Langer is making his 41st Masters start. The 1985 and 1993 Masters champion has announced that this will be his final Tournament as a participant. He made his Masters debut in 1982 as Germany's first Tournament participant. When he won for the first time 40 years ago, he joined South Africa's Gary Player and Spain's Seve Ballesteros as international Masters champions. The World Golf Hall of Fame member's career also includes winning 42 times on the DP World Tour and representing Europe in 10 Ryder Cups between 1981 and 2002. Since turning 50 in 2007, he has become a 47-time winner and 12-time senior major champion on the PGA Tour Champions and last November, he won in Phoenix to extend his streak of years with a win to 18."
Billy Horschel,"Billy Horschel is making his 10th Masters start. He finished T-4 in Tampa in March. In 2024, he won a PGA Tour event in the Dominican Republic and the DP World Tour's flagship event in England, finished runner-up in The Open at Royal Troon and T-8 in the PGA Championship at Valhalla and competed in his seventh Tour Championship at East Lake. He has earned official PGA Tour wins in stroke-play, match-play and team-play events, including the 2014 Tour Championship, 2021 WGC-Match Play and 2022 Memorial Tournament. Before turning professional, the four-time All-American at the University of Florida represented the United States in both the Arnold Palmer Cup and Walker Cup."
Brian Campbell,"Brian Campbell is making his Masters debut and fourth major championship start. In the 2015 U.S. Open at Chambers Bay, he finished T-27 to earn low amateur honors. In February, the two-time All-American at the University of Illinois won the Mexico Open in a playoff over Aldrich Potgieter to earn his first career PGA Tour win. He earned his PGA Tour card for the 2025 season through his performance on the Korn Ferry Tour last year. He finished seventh on the season-long points list with three runner-up performances and a T-3 finish in the Argentine Open in 2024."
Brian Harman,"Brian Harman is making his seventh Masters start. He won in San Antonio in April for his fourth career PGA Tour win. In 2024, he finished runner-up in the Players Championship and represented the United States in his first Presidents Cup. In 2023, he won The Open at Royal Liverpool by six strokes to join Bob Charles, Mike Weir, Phil Mickelson and Bubba Watson as left-handed major champions. Later that year, he represented the United States in his first Ryder Cup. Before turning professional, the three-time All-American at the University of Georgia won the 2003 U.S. Junior Amateur and represented his country in both the Arnold Palmer Cup and Walker Cup."
Brooks Koepka,"Brooks Koepka is making his 10th Masters start. He has top-seven finishes at Augusta National in three of the past six years and was runner-up in 2019 to Tiger Woods and in 2023 to Jon Rahm. One month after finishing second to Rahm, he won the PGA Championship at Oak Hill to join Byron Nelson, Peter Thomson and Seve Ballesteros as five-time major champions. Over 23 months in 2017-2019, he won the U.S. Open and PGA Championship twice each and for one month in 2019, he was the two-time defending champion of both majors. He has represented the United States in each of the past four Ryder Cups in 2016, 2018, 2021 and 2023."
